article_id,true_label,true_verdict,predicted_verdict,predicted_binary,confidence,correct,claim,claim_type,is_fact_check_article,claim_status,entities,numbers_dates,retrieved_count,reranked_count,top_evidence_article_id,top_evidence_id,top_evidence_type,top_evidence_score,explanation,summary,processing_time_seconds,error
12359,1,REAL,FAKE,0.0,0.86,False,The Board of Control for Cricket in India (BCCI) suspended the 2025 Indian Premier League (IPL) season for an indefinite period (initially reported as one week) due to heightened India-Pakistan tensions and security concerns.,event,False,unknown,"[""Board of Control for Cricket in India (BCCI)"", ""Indian Premier League (IPL) 2025"", ""India"", ""Pakistan"", ""Punjab Kings"", ""Delhi Capitals"", ""Dharamshala"", ""Arun Jaitley Cricket Stadium"", ""Delhi and District Cricket Association (DDCA)"", ""Sunil Kumar"", ""England cricket team""]","[""9 May 2025"", ""one week"", ""indefinite period"", ""18th season"", ""1 June 2025"", ""31 July 2025"", ""Wednesday""]",3.0,3.0,12361.0,E12361,NEWS,0.400625,"All three supplied articles confirm that the BCCI suspended IPL 2025 because of rising India-Pakistan tensions and security concerns. However, each article specifies the suspension was for one week, not an indefinite period. The claim that the suspension was indefinite (even if initially reported as one week) is not supported and is directly contradicted by the evidence that the suspension duration was limited to a week. Therefore, the claim is false regarding the indefinite nature of the suspension.","Evidence shows a one‑week suspension, contradicting the claim of an indefinite suspension.",8.236,
3231,0,FAKE,UNCERTAIN,,0.8,False,"Since the 1991 economic liberalisation, southern and western Indian states have consistently outperformed other Indian states in both their share of national GDP and per‑capita income, while eastern states have shown a declining trend.",statistics,False,unknown,"[""India"", ""Manmohan Singh"", ""World Bank"", ""Reserve Bank of India"", ""BlackRock"", ""PM‑EAC"", ""Karnataka"", ""Andhra Pradesh"", ""Telangana"", ""Kerala"", ""Tamil Nadu"", ""Maharashtra"", ""Gujarat"", ""Delhi"", ""Haryana"", ""Punjab"", ""West Bengal"", ""Bihar"", ""Odisha"", ""Uttar Pradesh"", ""Madhya Pradesh"", ""Sikkim"", ""Assam""]","[""1991"", ""24 July 1991"", ""1960‑61"", ""2023‑24"", ""2000‑01"", ""2022‑23"", ""2020‑21"", ""2010‑11"", ""8%"", ""6%"", ""4%"", ""55%"", ""4% of GDP (interest)"", ""20% of total expenditure"", ""2500 crore rupees"", ""2 weeks"", ""2024‑25"", ""6.6% to 7%"", ""7% to 7.2%"", ""2027"", ""30%"", ""6.4% to 8.1%"", ""1.4% to 3.1%"", ""10.5% to 5.6%"", ""127.5% to 83.7%"", ""70.3% to 31% to 33%"", ""70.9% to 54.3% to 88.5%"", ""14.4% to 8.2% to 8.4%"", ""82.4% to 60.1% to 77.4%"", ""100% to 320%"", ""103% to 61.12% to 73.7%"", ""193.6%""]",3.0,3.0,57026.0,E57026,NEWS,0.26889456383387245,"The supplied evidence articles discuss India's overall GDP growth, South Asian regional growth forecasts, and a comparison of GDP declines in the US and Japan. None of them provide data or analysis about the relative performance of Indian states (southern, western, eastern) since 1991, nor do they address share of national GDP or per‑capita income trends at the state level. Therefore, the claim cannot be verified as true or false based on the given evidence.",No provided evidence directly supports or contradicts the claim; verdict is UNCERTAIN.,56.316,
40854,1,REAL,UNCERTAIN,,0.85,False,"Pakistan's army chief publicly admitted that the Pakistani army has, in the name of jihad, turned large numbers of people into extremists, supplied them with weapons and political power, and that the consequences of policies from 40 years ago are now being realized.",policy,False,unknown,"[""Pakistan army chief (General Qamar Javed Bajwa)"", ""Imran Khan"", ""Maulana Masood Azhar"", ""Hafiz Saeed"", ""Salahuddin"", ""Pakistan"", ""India"", ""Jammu and Kashmir"", ""Pulwama attack"", ""United States"", ""Britain"", ""Independent News Service""]","[""40 years ago"", ""2009-2022""]",3.0,3.0,49516.0,E49516,NEWS,0.42500000000000004,"None of the supplied evidence articles mention any public admission by Pakistan's army chief regarding the army turning people into extremists, providing them weapons, or referencing policies from 40 years ago. The articles discuss Islamic State activity, the army's view of challenges over the past decade, and General Bajwa's medals, none of which directly support or contradict the main claim. Therefore, the claim cannot be verified with the given evidence.",No evidence directly supports or contradicts the claim; verdict is UNCERTAIN.,48.939,
67103,0,FAKE,FAKE,0.0,0.92,True,"During the Citizenship Amendment Act (CAA) protest in Murshidabad, West Bengal, Hindus were forced out of their homes and killed.",event,True,unknown,"[""Citizenship Amendment Act"", ""CAA"", ""Murshidabad"", ""West Bengal"", ""Hindus"", ""Delhi"", ""Bihar"", ""Kerala"", ""Maharashtra"", ""Uttar Pradesh""]","[""last year""]",3.0,3.0,55346.0,E55346,FACT_CHECK,0.42951037883758547,"Evidence 3 is a fact‑check that directly states the claim that Hindus were forced out of their homes and killed during a CAA protest in Murshidabad is false, showing the viral images and statements are unrelated to any such event. Evidence 2 describes violence in Murshidabad during a Waqf‑law protest, noting that many Hindu families fled but does not mention killings and concerns a different law, so it does not substantiate the claim. Evidence 1 concerns a protest in Bihar, unrelated to Murshidabad. The direct contradiction from the fact‑check outweighs the other pieces, leading to a FAKE verdict.","Fact‑check evidence disproves the claim; other sources do not confirm killings, so the claim is judged FAKE.",42.491,
34373,1,REAL,ERROR,,,False,,,,,,,,,,,,,,,,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-120b` in organization `org_01krzeenhteq8bk6r5dpsksrmv` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 198147, Requested 2308. Please try again in 3m16.56s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
64636,0,FAKE,ERROR,,,False,,,,,,,,,,,,,,,,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-120b` in organization `org_01krzeenhteq8bk6r5dpsksrmv` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 198146, Requested 2625. Please try again in 5m33.072s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
40135,1,REAL,ERROR,,,False,,,,,,,,,,,,,,,,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-120b` in organization `org_01krzeenhteq8bk6r5dpsksrmv` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 198146, Requested 2628. Please try again in 5m34.368s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
58213,0,FAKE,ERROR,,,False,,,,,,,,,,,,,,,,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-120b` in organization `org_01krzeenhteq8bk6r5dpsksrmv` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 198145, Requested 2150. Please try again in 2m7.44s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
53221,0,FAKE,ERROR,,,False,,,,,,,,,,,,,,,,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-120b` in organization `org_01krzeenhteq8bk6r5dpsksrmv` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 198144, Requested 2227. Please try again in 2m40.272s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
38936,1,REAL,ERROR,,,False,,,,,,,,,,,,,,,,"Error code: 429 - {'error': {'message': 'Rate limit reached for model `openai/gpt-oss-120b` in organization `org_01krzeenhteq8bk6r5dpsksrmv` service tier `on_demand` on tokens per day (TPD): Limit 200000, Used 198144, Requested 2357. Please try again in 3m36.432s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"
